"zona","provincia","maxabs","minabs","brecha_sc","count.sc","municipio","provincianombre"
"18184","18",22.3,21.7,0.6,2,"Vélez de Benaudalla","Granada"
"45001","45",22.7,22.1,0.6,2,"Ajofrín","Toledo"
"46228","46",22.8,22.2,0.6,2,"Serra","Valencia/Valéncia"
"40043","40",23.8,23.2,0.6,2,"Carbonero el Mayor","Segovia"
"27901","27",24.1,23.5,0.6,2,"Baralla","Lugo"
"06155","06",25,24.4,0.6,2,"Villar del Rey","Badajoz"
"44122","44",26.5,25.9,0.6,2,"Híjar","Teruel"
"06126","06",29.2,28.6,0.6,2,"Solana de los Barros","Badajoz"
"43054","43",33.6,33,0.6,2,"Espluga de Francolí, L'","Tarragona"
"08203","08",39.5,38.9,0.6,2,"Sant Cebrià de Vallalta","Barcelona"
"13066","13",11.4,10.7,0.7,2,"Pozuelo de Calatrava","Ciudad Real"
"13004","13",13.9,13.2,0.7,2,"Albaladejo","Ciudad Real"
"41014","41",15.2,14.5,0.7,2,"Badolatosa","Sevilla"
"02030","02",17.8,17.1,0.7,2,"Elche de la Sierra","Albacete"
"35025","35",17.8,17.1,0.7,2,"Tejeda","Palmas, Las"
"25038","25",18.7,18,0.7,2,"Aitona","Lleida"
"29035","29",19,18.3,0.7,2,"Cañete la Real","Málaga"
"06117","06",20.4,19.7,0.7,2,"Salvatierra de los Barros","Badajoz"
"06152","06",22.2,21.5,0.7,2,"Villalba de los Barros","Badajoz"
"16112","16",25.2,24.5,0.7,2,"Huete","Cuenca"
"48905","48",28.8,28.1,0.7,2,"Zamudio","Bizkaia"
"17086","17",36.2,35.5,0.7,2,"Jonquera, La","Girona"
"07050","07",40.9,40.2,0.7,3,"Sant Joan de Labritja","Balears, Illes"
"16118","16",11.4,10.6,0.8,2,"Ledaña","Cuenca"
"02012","02",12.7,11.9,0.8,2,"Balazote","Albacete"
"41026","41",12.8,12,0.8,4,"Casariche","Sevilla"
"13038","13",16.6,15.8,0.8,2,"Chillón","Ciudad Real"
"14050","14",19.8,19,0.8,2,"Pedro Abad","Córdoba"
"06141","06",23.8,23,0.8,2,"Valencia del Ventoso","Badajoz"
"43094","43",27.8,27,0.8,2,"Móra la Nova","Tarragona"
"31015","31",27.9,27.1,0.8,2,"Andosilla","Navarra"
"02051","02",29,28.2,0.8,2,"Montealegre del Castillo","Albacete"
"17142","17",31,30.2,0.8,2,"Quart","Girona"
"33015","33",34.5,33.7,0.8,2,"Caso","Asturias"
"18048","18",37.6,36.8,0.8,2,"Cijuela","Granada"
