provincianombre,provincia,maxabs,minabs,brecha_sc,count.sc,municipio,zona,show
Valencia,46,55.8,21.3,34.5,41,Sagunto/Sagunt,m46220,dontshow
Málaga,29,60.9,26.4,34.5,8,Torrox,m29091,dontshow
Alicante,3,59.9,25.5,34.4,19,"Villajoyosa/Vila Joiosa, la",m3139,dontshow
Málaga,29,55.1,21.5,33.6,4,Almogía,m29011,dontshow
Barcelona,8,67.2,33.6,33.6,39,Vilanova i la Geltrú,m8307,dontshow
Huelva,21,68.4,35,33.4,107,Huelva,m21041,dontshow
"Las Palmas",35,60.9,27.6,33.3,9,"Oliva, La",m35014,dontshow
"Las Palmas",35,53.4,20.5,32.9,10,Mogán,m35012,dontshow
Navarra,31,51.8,19.1,32.7,137,Pamplona/Iruña,m31201,dontshow
Córdoba,14,54.3,21.7,32.6,27,Lucena,m14038,dontshow
Málaga,29,66.1,33.5,32.6,75,Marbella,m29069,dontshow
Sevilla,41,66.2,33.9,32.3,47,Alcalá de Guadaíra,m41004,dontshow
Alicante,3,57,25,32,23,Villena,m3140,dontshow
"Illes Balears,",7,58.4,26.4,32,24,Manacor,m7033,dontshow
Alicante,3,50.7,18.8,31.9,7,Guardamar del Segura,m3076,dontshow
"Las Palmas",35,59.9,28,31.9,6,Yaiza,m35034,dontshow
Santa Cruz de Tenerife,38,60.8,28.9,31.9,24,Granadilla de Abona,m38017,dontshow
Alicante,3,54.5,22.9,31.6,7,"Nucia, la",m3094,dontshow
Alicante,3,59.4,27.8,31.6,7,Calp,m3047,dontshow
"Illes Balears,",7,60.5,28.9,31.6,25,Calvià,m7011,dontshow
Valladolid,47,52.8,21.4,31.4,266,Valladolid,m47186,dontshow
Barcelona,8,62.1,30.9,31.2,152,Sabadell,m8187,dontshow
Cádiz,11,69.6,38.5,31.1,82,Algeciras,m11004,dontshow
Ceuta,51,74.3,43.4,30.9,54,Ceuta,m51001,dontshow
Asturias,33,55.9,25.1,30.8,181,Oviedo,m33044,dontshow
Almería,4,56.2,25.4,30.8,9,Vera,m4100,dontshow
"Las Palmas",35,63,32.2,30.8,275,"Palmas de Gran Canaria, Las",m35016,dontshow
Cáceres,10,53.1,22.4,30.7,71,Cáceres,m10037,dontshow
Tarragona,43,62.9,32.2,30.7,83,Tarragona,m43148,dontshow
Tarragona,43,54.8,24.2,30.6,24,Tortosa,m43155,dontshow
Murcia,30,61.9,31.3,30.6,23,San Javier,m30035,dontshow
Girona,17,61.8,31.5,30.3,61,Girona,m17079,dontshow
Málaga,29,62.5,32.3,30.2,30,Benalmádena,m29025,dontshow
Barcelona,8,63.9,33.7,30.2,99,Santa Coloma de Gramenet,m8245,dontshow
Jaén,23,58.1,28.1,30,87,Jaén,m23050,dontshow
Valencia,46,50.9,21.2,29.7,10,Carlet,m46085,dontshow
"Illes Balears,",7,64.5,34.8,29.7,13,Sant Josep de sa Talaia,m7048,dontshow
Barcelona,8,63.2,33.6,29.6,192,"Hospitalet de Llobregat, L'",m8101,dontshow
Tarragona,43,60.4,31,29.4,12,Vila-seca,m43171,dontshow
Girona,17,65.5,36.1,29.4,11,Roses,m17152,dontshow
Cádiz,11,69.3,40.2,29.1,48,"Línea de la Concepción, La",m11022,dontshow
Santa Cruz de Tenerife,38,55.4,26.4,29,20,Puerto de la Cruz,m38028,dontshow
Ciudad Real,13,59,30.2,28.8,40,Puertollano,m13071,dontshow
Cádiz,11,64.5,35.8,28.7,30,Puerto Real,m11028,dontshow
Badajoz,6,42.9,14.4,28.5,26,Don Benito,m6044,dontshow
Alicante,3,60.3,31.8,28.5,45,Benidorm,m3031,dontshow
Santa Cruz de Tenerife,38,54.7,26.4,28.3,4,Santiago del Teide,m38040,dontshow
Madrid,28,47.2,19,28.2,51,San Sebastián de los Reyes,m28134,dontshow
Valencia,46,51.5,23.3,28.2,15,Llíria,m46147,dontshow
Alicante,3,48.2,20.2,28,172,Elche/Elx,m3065,dontshow
Badajoz,6,52.6,24.6,28,41,Mérida,m6083,dontshow
"Illes Balears,",7,68.6,40.6,28,16,Santa Eulalia del Río,m7054,dontshow
"Las Palmas",35,63.1,35.2,27.9,6,Tías,m35028,dontshow
Jaén,23,37.8,10.2,27.6,4,"Guardia de Jaén, La",m23038,dontshow
Murcia,30,56.3,28.7,27.6,21,Mazarrón,m30026,dontshow
Barcelona,8,57.1,29.7,27.4,13,Berga,m8022,dontshow
Sevilla,41,67.4,40,27.4,81,Dos Hermanas,m41038,dontshow
Madrid,28,44.9,17.6,27.3,114,Getafe,m28065,dontshow
Málaga,29,55.5,28.3,27.2,47,Vélez-Málaga,m29094,dontshow
Santa Cruz de Tenerife,38,56.6,29.5,27.1,107,San Cristóbal de La Laguna,m38023,dontshow
Cádiz,11,58.4,31.3,27.1,13,"Barrios, Los",m11008,dontshow
Castellón,12,50.5,23.5,27,106,Castellón de la Plana/Castelló de la Plana,m12040,dontshow
Murcia,30,50.5,23.5,27,69,Lorca,m30024,dontshow
Córdoba,14,63.1,36.1,27,22,Puente Genil,m14056,dontshow
Cádiz,11,67.3,40.3,27,52,Chiclana de la Frontera,m11015,dontshow
Alicante,3,53.9,27,26.9,8,"Alfàs del Pi, l'",m3011,dontshow
Alicante,3,53.6,26.8,26.8,41,Elda,m3066,dontshow
Sevilla,41,59.5,32.7,26.8,24,"Rinconada, La",m41081,dontshow
"Las Palmas",35,51.9,25.3,26.6,39,Santa Lucía de Tirajana,m35022,dontshow
Madrid,28,46.8,20.3,26.5,41,Rivas-Vaciamadrid,m28123,dontshow
"La Rioja",26,50.6,24.1,26.5,104,Logroño,m26089,dontshow
"Las Palmas",35,54.3,27.8,26.5,22,Puerto del Rosario,m35017,dontshow
Madrid,28,49.8,23.4,26.4,77,Torrejón de Ardoz,m28148,dontshow
