provincianombre,provincia,maxabs,minabs,brecha_sc,count.sc,municipio,zona,show
Barcelona,8,50,32.1,17.9,9,Sant Celoni,m8202,dontshow
Huelva,21,50.9,33,17.9,10,Punta Umbría,m21060,dontshow
Valencia,46,38.7,20.9,17.8,15,Cullera,m46105,dontshow
Tarragona,43,53.8,36,17.8,3,Roda de Barà,m43131,dontshow
Castellón,12,37.9,20.2,17.7,4,Alcalà de Xivert,m12004,dontshow
Lugo,27,45.6,28,17.6,14,Monforte de Lemos,m27031,dontshow
Santa Cruz de Tenerife,38,46.8,29.2,17.6,12,"Rosario, El",m38032,dontshow
Málaga,29,46.9,29.3,17.6,11,Alhaurín el Grande,m29008,dontshow
Bizkaia,48,47.4,29.8,17.6,65,Getxo,m48044,dontshow
Alicante,3,47.7,30.1,17.6,24,Dénia,m3063,dontshow
Cádiz,11,50.4,32.8,17.6,18,San Roque,m11033,dontshow
Huelva,21,39.2,21.7,17.5,5,San Juan del Puerto,m21064,dontshow
Pontevedra,36,44.1,26.6,17.5,5,"Cañiza, A",m36009,dontshow
Barcelona,8,53.6,36.1,17.5,11,Esparreguera,m8076,dontshow
Granada,18,39.3,21.9,17.4,7,Illora,m18102,dontshow
Pontevedra,36,43.7,26.3,17.4,20,Redondela,m36045,dontshow
Valencia,46,33.9,16.6,17.3,11,Riba-roja de Túria,m46214,dontshow
Valencia,46,40.3,23,17.3,19,Catarroja,m46094,dontshow
Valencia,46,46.6,29.3,17.3,2,Montroy,m46176,dontshow
"La Rioja",26,48.4,31.1,17.3,14,Calahorra,m26036,dontshow
Tarragona,43,58.4,41.1,17.3,12,Salou,m43905,dontshow
Cuenca,16,43.3,26.1,17.2,36,Cuenca,m16078,dontshow
Burgos,9,46.9,29.7,17.2,22,Aranda de Duero,m9018,dontshow
Córdoba,14,47.2,30,17.2,15,Palma del Río,m14049,dontshow
Gipuzkoa,20,50.6,33.4,17.2,42,Irun,m20045,dontshow
Gipuzcoa,20,50.6,33.4,17.2,42,Irun,m20045,dontshow
Barcelona,8,52.5,35.3,17.2,16,Premià de Mar,m8172,dontshow
Burgos,9,40.2,23.1,17.1,2,Villadiego,m9427,dontshow
"Illes Balears,",7,44.7,27.6,17.1,22,Marratxí,m7036,dontshow
Barcelona,8,52,34.9,17.1,11,Olesa de Montserrat,m8147,dontshow
Almería,4,58.1,41,17.1,47,Roquetas de Mar,m4079,dontshow
Bizkaia,48,48.8,31.8,17,26,Sestao,m48084,dontshow
Barcelona,8,50.5,33.5,17,12,Sant Quirze del Vallès,m8238,dontshow
Badajoz,6,39.4,22.5,16.9,20,Almendralejo,m6011,dontshow
Murcia,30,41.5,24.6,16.9,12,Abarán,m30002,dontshow
Cantabria,39,45.1,28.2,16.9,147,Santander,m39075,dontshow
Almería,4,28.6,11.8,16.8,3,Cantoria,m4031,dontshow
Toledo,45,36.5,19.7,16.8,2,Escalona,m45061,dontshow
Valencia,46,38,21.2,16.8,5,"Pobla de Farnals, la",m46199,dontshow
Alicante,3,38.6,21.8,16.8,11,Almoradí,m3015,dontshow
Sevilla,41,38.6,21.8,16.8,3,Burguillos,m41019,dontshow
Almería,4,42.1,25.3,16.8,12,Berja,m4029,dontshow
Granada,18,43.5,26.7,16.8,15,Almuñécar,m18017,dontshow
"A Coruña",15,43.7,26.9,16.8,20,Ames,m15002,dontshow
Bizkaia,48,44.9,28.1,16.8,13,Bermeo,m48017,dontshow
Cádiz,11,53.7,36.9,16.8,15,Conil de la Frontera,m11014,dontshow
Murcia,30,28,11.3,16.7,6,Abanilla,m30001,dontshow
Málaga,29,42.7,26,16.7,4,Algarrobo,m29005,dontshow
Madrid,28,43.2,26.5,16.7,31,Collado Villalba,m28047,dontshow
Sevilla,41,52.4,35.7,16.7,18,Coria del Río,m41034,dontshow
Barcelona,8,54.2,37.5,16.7,9,Malgrat de Mar,m8110,dontshow
Valencia,46,39.1,22.5,16.6,19,Aldaia,m46021,dontshow
Santa Cruz de Tenerife,38,47.2,30.6,16.6,17,Candelaria,m38011,dontshow
Pontevedra,36,37.9,21.4,16.5,9,Salvaterra de Miño,m36050,dontshow
Tarragona,43,41.2,24.7,16.5,2,"Bisbal del Penedès, La",m43028,dontshow
"Las Palmas",35,42.4,25.9,16.5,18,Ingenio,m35011,dontshow
Asturias,33,47.9,31.4,16.5,13,Laviana,m33032,dontshow
Gipuzkoa,20,49.6,33.1,16.5,16,Hernani,m20040,dontshow
Gipuzcoa,20,49.6,33.1,16.5,16,Hernani,m20040,dontshow
Murcia,30,36.9,20.5,16.4,16,Cehegín,m30017,dontshow
Zaragoza,50,38.5,22.1,16.4,9,Tarazona,m50251,dontshow
Murcia,30,45.1,28.7,16.4,12,Fuente Álamo de Murcia,m30021,dontshow
Tarragona,43,53.5,37.1,16.4,21,"Vendrell, El",m43163,dontshow
Melilla,52,48.9,32.6,16.3,44,Melilla,m52001,dontshow
Málaga,29,53.9,37.6,16.3,28,Ronda,m29084,dontshow
Sevilla,41,37.3,21.1,16.2,7,Cantillana,m41023,dontshow
Huelva,21,40.4,24.2,16.2,10,Moguer,m21050,dontshow
Barcelona,8,47,30.8,16.2,4,Sant Vicenç de Montalt,m8264,dontshow
Barcelona,8,51.7,35.5,16.2,5,Bigues i Riells,m8023,dontshow
Tarragona,43,55.8,39.6,16.2,3,Constantí,m43047,dontshow
Bizkaia,48,42,25.9,16.1,12,Amorebieta-Etxano,m48003,dontshow
Alicante,3,43.8,27.7,16.1,2,Polop,m3107,dontshow
Barcelona,8,44.3,28.2,16.1,2,Olèrdola,m8145,dontshow
Soria,42,44.8,28.7,16.1,24,Soria,m42173,dontshow
Granada,18,47.7,31.6,16.1,15,Guadix,m18089,dontshow
Badajoz,6,33.3,17.3,16,18,Villanueva de la Serena,m6153,dontshow
Pontevedra,36,36.6,20.6,16,8,Caldas de Reis,m36005,dontshow
León,24,38.2,22.2,16,7,Bembibre,m24014,dontshow
Alicante,3,39,23,16,11,Monóvar/Monòver,m3089,dontshow
"A Coruña",15,39.3,23.3,16,4,Dumbría,m15034,dontshow
Sevilla,41,40,24,16,7,Alcalá del Río,m41005,dontshow
Zaragoza,50,42.1,26.1,16,2,Pinseque,m50209,dontshow
Barcelona,8,50.9,34.9,16,2,Castellbell i el Vilar,m8053,dontshow
Barcelona,8,54.7,38.7,16,8,Argentona,m8009,dontshow
Madrid,28,32.4,16.5,15.9,24,Tres Cantos,m28903,dontshow
Valencia,46,39.2,23.3,15.9,32,Alzira,m46017,dontshow
Toledo,45,39.7,23.8,15.9,5,Ocaña,m45121,dontshow
Granada,18,40.4,24.5,15.9,5,Montefrío,m18135,dontshow
Gipuzkoa,20,46.9,31,15.9,8,Beasain,m20019,dontshow
Gipuzcoa,20,46.9,31,15.9,8,Beasain,m20019,dontshow
Barcelona,8,50.1,34.2,15.9,30,Sant Feliu de Llobregat,m8211,dontshow
Girona,17,54.4,38.5,15.9,12,Sant Feliu de Guíxols,m17160,dontshow
Córdoba,14,35.2,19.4,15.8,4,Santaella,m14060,dontshow
Valencia,46,36,20.2,15.8,10,"Pobla de Vallbona, la",m46202,dontshow
Alicante,3,40.2,24.4,15.8,48,Alcoy/Alcoi,m3009,dontshow
Murcia,30,44.4,28.6,15.8,21,Torre-Pacheco,m30037,dontshow
Gipuzkoa,20,45.9,30.1,15.8,31,Errenteria,m20067,dontshow
Gipuzcoa,20,45.9,30.1,15.8,31,Errenteria,m20067,dontshow
Alicante,3,36.1,20.4,15.7,6,Pedreguer,m3101,dontshow
Málaga,29,41.7,26,15.7,6,Archidona,m29017,dontshow
Sevilla,41,42.3,26.6,15.7,9,Espartinas,m41040,dontshow
Madrid,28,42.4,26.7,15.7,14,Arroyomolinos,m28015,dontshow
León,24,43.2,27.5,15.7,10,Villaquilambre,m24222,dontshow
Granada,18,44,28.3,15.7,17,Loja,m18122,dontshow
"A Coruña",15,47.8,32.1,15.7,18,Arteixo,m15005,dontshow
Tarragona,43,50.7,35,15.7,2,"Pobla de Montornès, La",m43111,dontshow
Barcelona,8,53.2,37.5,15.7,10,Montornès del Vallès,m8136,dontshow
Pontevedra,36,31.6,16,15.6,5,Mondariz,m36030,dontshow
Alicante,3,39,23.4,15.6,9,Cocentaina,m3056,dontshow
Gipuzkoa,20,40.8,25.2,15.6,14,Tolosa,m20071,dontshow
Gipuzcoa,20,40.8,25.2,15.6,14,Tolosa,m20071,dontshow
Madrid,28,41.5,25.9,15.6,14,Navalcarnero,m28096,dontshow
Ourense,32,45.5,29.9,15.6,10,"Barco de Valdeorras, O",m32009,dontshow
Barcelona,8,50.8,35.2,15.6,9,Arenys de Mar,m8006,dontshow
Barcelona,8,52.7,37.1,15.6,26,Igualada,m8102,dontshow
León,24,36.3,20.8,15.5,3,"Robla, La",m24134,dontshow
Asturias,33,45.4,29.9,15.5,2,Ibias,m33028,dontshow
Tarragona,43,52.5,37,15.5,3,"Pallaresos, Els",m43100,dontshow
Castellón,12,36.2,20.8,15.4,4,Moncofa,m12077,dontshow
Ourense,32,38.1,22.7,15.4,10,"Carballiño, O",m32019,dontshow
Murcia,30,39,23.6,15.4,26,Caravaca de la Cruz,m30015,dontshow
"La Rioja",26,38.3,23,15.3,10,Arnedo,m26018,dontshow
Almería,4,47.1,31.8,15.3,16,Adra,m4003,dontshow
Zamora,49,47.6,32.3,15.3,49,Zamora,m49275,dontshow
Lugo,27,32.2,17,15.2,10,Sarria,m27057,dontshow
Valencia,46,37.9,22.7,15.2,17,Oliva,m46181,dontshow
Cantabria,39,40.5,25.3,15.2,15,Piélagos,m39052,dontshow
"Illes Balears,",7,44,28.8,15.2,3,Algaida,m7004,dontshow
Madrid,28,44.9,29.7,15.2,4,"Álamo, El",m28004,dontshow
Valladolid,47,45.1,29.9,15.2,10,Arroyo de la Encomienda,m47010,dontshow
Barcelona,8,48.9,33.7,15.2,6,Castellbisbal,m8054,dontshow
Barcelona,8,53.2,38,15.2,20,Ripollet,m8180,dontshow
Granada,18,38.7,23.6,15.1,2,Deifontes,m18066,dontshow
Valencia,46,39,23.9,15.1,21,Alaquàs,m46005,dontshow
Madrid,28,41.5,26.4,15.1,35,Valdemoro,m28161,dontshow
Pontevedra,36,42.3,27.2,15.1,18,Ponteareas,m36042,dontshow
Granada,18,51.1,36,15.1,10,Atarfe,m18022,dontshow
"Las Palmas",35,52.8,37.7,15.1,10,San Bartolomé,m35018,dontshow
"Illes Balears,",7,34.1,19.1,15,6,"Pobla, Sa",m7044,dontshow
Lugo,27,38.3,23.3,15,13,Vilalba,m27065,dontshow
Tarragona,43,40.8,25.8,15,3,"Ametlla de Mar, L'",m43013,dontshow
Teruel,44,43.2,28.2,15,20,Teruel,m44216,dontshow
Salamanca,37,45,30,15,11,Ciudad Rodrigo,m37107,dontshow
Valencia,46,36.9,22,14.9,32,Mislata,m46169,dontshow
León,24,41.4,26.5,14.9,10,Villablino,m24202,dontshow
Sevilla,41,43.7,28.8,14.9,6,Bollullos de la Mitación,m41016,dontshow
Granada,18,50.7,35.8,14.9,12,Maracena,m18127,dontshow
Barcelona,8,52.4,37.5,14.9,9,Caldes de Montbui,m8033,dontshow
Almería,4,42,27.2,14.8,11,Níjar,m4066,dontshow
Málaga,29,45,30.2,14.8,9,Álora,m29012,dontshow
Granada,18,46.5,31.7,14.8,8,Salobreña,m18173,dontshow
Sevilla,41,47.5,32.7,14.8,12,Castilleja de la Cuesta,m41029,dontshow
Barcelona,8,57.1,42.3,14.8,17,Sant Pere de Ribes,m8231,dontshow
Castellón,12,30.8,16.1,14.7,9,Nules,m12082,dontshow
"Illes Balears,",7,35.2,20.5,14.7,2,"Salines, Ses",m7059,dontshow
Albacete,2,38.1,23.4,14.7,10,"Roda, La",m2069,dontshow
Málaga,29,43.6,28.9,14.7,13,Coín,m29042,dontshow
Lugo,27,46.9,32.2,14.7,74,Lugo,m27028,dontshow
"Illes Balears,",7,21.9,7.3,14.6,2,Montuïri,m7038,dontshow
Madrid,28,40.1,25.5,14.6,13,Galapagar,m28061,dontshow
Guadalajara,19,41.7,27.1,14.6,16,Azuqueca de Henares,m19046,dontshow
Ávila,5,42.1,27.5,14.6,39,Ávila,m5019,dontshow
Granada,18,45.9,31.3,14.6,4,Padul,m18150,dontshow
"A Coruña",15,34.1,19.6,14.5,6,Oroso,m15060,dontshow
Tarragona,43,40.3,25.8,14.5,2,Santa Oliva,m43140,dontshow
Lugo,27,41.1,26.6,14.5,12,Viveiro,m27066,dontshow
"A Coruña",15,42,27.5,14.5,5,Carnota,m15020,dontshow
Zaragoza,50,42.7,28.2,14.5,13,Ejea de los Caballeros,m50095,dontshow
Santa Cruz de Tenerife,38,42.9,28.4,14.5,10,Guía de Isora,m38019,dontshow
Lleida,25,48.6,34.1,14.5,5,Tremp,m25234,dontshow
"A Coruña",15,50.3,35.8,14.5,16,Cambre,m15017,dontshow
Girona,17,56.5,42,14.5,5,Castell-Platja d'Aro,m17048,dontshow
Valencia,46,38.2,23.8,14.4,14,Picassent,m46194,dontshow
"A Coruña",15,43.9,29.5,14.4,12,Teo,m15082,dontshow
Sevilla,41,49.4,35,14.4,28,Écija,m41039,dontshow
Valencia,46,36.2,21.9,14.3,8,Chiva,m46111,dontshow
Girona,17,41.8,27.5,14.3,3,Begur,m17013,dontshow
Barcelona,8,49.1,34.8,14.3,5,Sant Vicenç de Castellet,m8262,dontshow
Barcelona,8,58.5,44.2,14.3,11,Corbera de Llobregat,m8072,dontshow
Pontevedra,36,39.4,25.2,14.2,12,"Porriño, O",m36039,dontshow
Madrid,28,40.2,26,14.2,28,Pinto,m28113,dontshow
Santa Cruz de Tenerife,38,41.3,27.1,14.2,6,Arico,m38005,dontshow
Huelva,21,42.7,28.5,14.2,15,Lepe,m21044,dontshow
Cáceres,10,44.5,30.3,14.2,13,Navalmoral de la Mata,m10131,dontshow
Tarragona,43,49.7,35.5,14.2,15,Valls,m43161,dontshow
Alicante,3,32.6,18.5,14.1,7,Albatera,m3005,dontshow
Alicante,3,35.1,21,14.1,4,Dolores,m3064,dontshow
Toledo,45,39.5,25.4,14.1,5,Bargas,m45019,dontshow
Barcelona,8,40.8,26.7,14.1,5,Navàs,m8141,dontshow
Barcelona,8,50.6,36.5,14.1,15,Sitges,m8270,dontshow
Murcia,30,34.7,20.7,14,8,Moratalla,m30028,dontshow
Alicante,3,39,25,14,2,Formentera del Segura,m3070,dontshow
Madrid,28,41.4,27.4,14,8,San Martín de la Vega,m28132,dontshow
Girona,17,49.4,35.4,14,7,Torroella de Montgrí,m17199,dontshow
Girona,17,52.4,38.4,14,5,"Escala, L'",m17062,dontshow
Valencia,46,35.8,21.9,13.9,21,Xirivella,m46110,dontshow
Almería,4,37.6,23.7,13.9,7,Cuevas del Almanzora,m4035,dontshow
Asturias,33,43.4,29.5,13.9,14,Villaviciosa,m33076,dontshow
Toledo,45,43.7,29.8,13.9,6,Yuncos,m45205,dontshow
Barcelona,8,54,40.1,13.9,12,Manlleu,m8112,dontshow
Sevilla,41,45.5,31.7,13.8,5,Olivares,m41067,dontshow
Bizkaia,48,47.3,33.5,13.8,20,Erandio,m48902,dontshow
Bizkaia,48,48.1,34.3,13.8,38,Santurtzi,m48082,dontshow
Navarra,31,32.1,18.4,13.7,2,Milagro,m31169,dontshow
Málaga,29,32.9,19.2,13.7,2,Mollina,m29072,dontshow
Valencia,46,35.7,22,13.7,21,Quart de Poblet,m46102,dontshow
Segovia,40,40.8,27.1,13.7,43,Segovia,m40194,dontshow
Segovia,40,41.2,27.5,13.7,7,Cuéllar,m40063,dontshow
Sevilla,41,41.7,28,13.7,17,Lebrija,m41053,dontshow
"Illes Balears,",7,42.4,28.7,13.7,5,Alaior,m7002,dontshow
Córdoba,14,43,29.3,13.7,18,Montilla,m14042,dontshow
Murcia,30,43.6,29.9,13.7,15,"Unión, La",m30041,dontshow
Madrid,28,38.2,24.6,13.6,4,Villa del Prado,m28171,dontshow
Murcia,30,39.7,26.1,13.6,27,Totana,m30039,dontshow
Pontevedra,36,48.4,34.8,13.6,17,Marín,m36026,dontshow
Barcelona,8,50,36.4,13.6,2,Olesa de Bonesvalls,m8146,dontshow
Granada,18,50,36.4,13.6,11,"Gabias, Las",m18905,dontshow
Huelva,21,31.1,17.6,13.5,3,Beas,m21011,dontshow
Valencia,46,34.5,21,13.5,6,Cheste,m46109,dontshow
Jaén,23,47.8,34.3,13.5,12,Bailén,m23010,dontshow
Murcia,30,38.7,25.3,13.4,8,Alguazas,m30007,dontshow
Córdoba,14,40,26.6,13.4,7,Almodóvar del Río,m14005,dontshow
Valladolid,47,41,27.6,13.4,4,Aldeamayor de San Martín,m47007,dontshow
Barcelona,8,49,35.6,13.4,21,Sant Joan Despí,m8217,dontshow
"Las Palmas",35,61.1,47.7,13.4,32,Arrecife,m35004,dontshow
Valencia,46,33.8,20.5,13.3,24,Algemesí,m46029,dontshow
Albacete,2,34.2,20.9,13.3,18,Almansa,m2009,dontshow
Navarra,31,40.4,27.1,13.3,21,Tudela,m31232,dontshow
Bizkaia,48,41.4,28.1,13.3,3,Iurreta,m48910,dontshow
Gipuzkoa,20,44.7,31.4,13.3,14,Pasaia,m20064,dontshow
Gipuzcoa,20,44.7,31.4,13.3,14,Pasaia,m20064,dontshow
Almería,4,48.5,35.2,13.3,10,Huércal de Almería,m4052,dontshow
Albacete,2,32.4,19.2,13.2,15,Villarrobledo,m2081,dontshow
Pontevedra,36,32.6,19.4,13.2,6,Salceda de Caselas,m36049,dontshow
Córdoba,14,33.8,20.6,13.2,4,Hornachuelos,m14036,dontshow
Alicante,3,36.5,23.3,13.2,7,Onil,m3096,dontshow
"Las Palmas",35,38.9,25.7,13.2,27,Arucas,m35006,dontshow
Barcelona,8,44.2,31,13.2,7,Santa Margarida de Montbui,m8250,dontshow
Barcelona,8,45.3,32.1,13.2,2,Òdena,m8143,dontshow
Barcelona,8,47.8,34.6,13.2,22,Vilafranca del Penedès,m8305,dontshow
Barcelona,8,48.2,35,13.2,8,Cardedeu,m8046,dontshow
Málaga,29,52.6,39.4,13.2,20,Alhaurín de la Torre,m29007,dontshow
Ourense,32,29.4,16.3,13.1,4,San Cibrao das Viñas,m32075,dontshow
Pontevedra,36,32,18.9,13.1,19,"Estrada, A",m36017,dontshow
Valencia,46,38.5,25.4,13.1,9,Utiel,m46249,dontshow
Almería,4,40.5,27.4,13.1,6,Albox,m4006,dontshow
Santa Cruz de Tenerife,38,43.3,30.2,13.1,18,Icod de los Vinos,m38022,dontshow
Gipuzkoa,20,44.9,31.8,13.1,4,Mutriku,m20056,dontshow
Gipuzcoa,20,44.9,31.8,13.1,4,Mutriku,m20056,dontshow
Murcia,30,34.9,21.9,13,11,Archena,m30009,dontshow
Ciudad Real,13,35.1,22.1,13,12,Daimiel,m13039,dontshow
Ourense,32,36.4,23.4,13,6,Barbadás,m32008,dontshow
Cantabria,39,37.3,24.3,13,10,Laredo,m39035,dontshow
Madrid,28,38.4,25.4,13,23,San Fernando de Henares,m28130,dontshow
Valladolid,47,38.4,25.4,13,18,Laguna de Duero,m47076,dontshow
Cantabria,39,30,17.1,12.9,6,Cabezón de la Sal,m39012,dontshow
Valencia,46,31.1,18.2,12.9,4,Puig,m46204,dontshow
Córdoba,14,35.6,22.7,12.9,4,Iznájar,m14037,dontshow
Cantabria,39,38.1,25.2,12.9,21,Camargo,m39016,dontshow
Zaragoza,50,39.3,26.4,12.9,6,Caspe,m50074,dontshow
Zaragoza,50,44.2,31.3,12.9,11,Utebo,m50272,dontshow
Bizkaia,48,44.6,31.7,12.9,40,Portugalete,m48078,dontshow
Sevilla,41,50.4,37.5,12.9,5,Valencina de la Concepción,m41096,dontshow
Zaragoza,50,30,17.2,12.8,4,Épila,m50099,dontshow
"A Coruña",15,32.9,20.1,12.8,11,"Laracha, A",m15041,dontshow
Pontevedra,36,38.2,25.4,12.8,2,Dozón,m36016,dontshow
Sevilla,41,38.6,25.8,12.8,5,Villanueva del Río y Minas,m41099,dontshow
Málaga,29,39.6,26.8,12.8,7,Pizarra,m29080,dontshow
Sevilla,41,40.9,28.1,12.8,10,"Algaba, La",m41007,dontshow
Pontevedra,36,42.4,29.6,12.8,8,Baiona,m36003,dontshow
Salamanca,37,43.8,31,12.8,9,Santa Marta de Tormes,m37294,dontshow
Girona,17,45.6,32.8,12.8,3,Porqueres,m17137,dontshow
Tarragona,43,48.9,36.1,12.8,5,Montblanc,m43086,dontshow
Valencia,46,34.6,21.9,12.7,12,Silla,m46230,dontshow
Valencia,46,41.4,28.7,12.7,3,Montserrat,m46172,dontshow
Gipuzkoa,20,44.2,31.5,12.7,9,Elgoibar,m20032,dontshow
Gipuzcoa,20,44.2,31.5,12.7,9,Elgoibar,m20032,dontshow
Murcia,30,35.5,22.9,12.6,30,Yecla,m30043,dontshow
Teruel,44,40.2,27.6,12.6,11,Alcañiz,m44013,dontshow
Sevilla,41,40.4,27.8,12.6,7,"Puebla del Río, La",m41079,dontshow
Gipuzkoa,20,40.7,28.1,12.6,14,Zarautz,m20079,dontshow
Gipuzcoa,20,40.7,28.1,12.6,14,Zarautz,m20079,dontshow
Huesca,22,43.2,30.6,12.6,11,Monzón,m22158,dontshow
Asturias,33,43.4,30.8,12.6,19,Castrillón,m33016,dontshow
Barcelona,8,44.8,32.2,12.6,4,Santa Margarida i els Monjos,m8251,dontshow
Almería,4,47.4,34.8,12.6,13,Vícar,m4102,dontshow
Barcelona,8,49.6,37,12.6,5,Palafolls,m8155,dontshow
Barcelona,8,49.7,37.1,12.6,5,Cervelló,m8068,dontshow
Ourense,32,28.3,15.8,12.5,2,Taboadela,m32079,dontshow
Ourense,32,34.8,22.3,12.5,3,Boborás,m32013,dontshow
Valencia,46,35.6,23.1,12.5,5,Canet d'En Berenguer,m46082,dontshow
Sevilla,41,40,27.5,12.5,13,Osuna,m41068,dontshow
Bizkaia,48,44,31.5,12.5,11,Ermua,m48034,dontshow
"A Coruña",15,54,41.5,12.5,28,Narón,m15054,dontshow
Alicante,3,32.7,20.3,12.4,3,Agost,m3002,dontshow
Valencia,46,35.3,22.9,12.4,8,Massamagrell,m46164,dontshow
Asturias,33,38.7,26.3,12.4,11,Llanera,m33035,dontshow
Toledo,45,40.9,28.5,12.4,15,Illescas,m45081,dontshow
Pontevedra,36,42.8,30.4,12.4,3,"Lama, A",m36025,dontshow
Barcelona,8,45.7,33.3,12.4,4,Sant Fruitós de Bages,m8213,dontshow
Girona,17,48.2,35.8,12.4,6,Santa Coloma de Farners,m17180,dontshow
Barcelona,8,52.4,40,12.4,10,Lliçà d'Amunt,m8107,dontshow
León,24,29.9,17.6,12.3,2,Santa Marina del Rey,m24159,dontshow
Valencia,46,32.1,19.8,12.3,14,Tavernes de la Valldigna,m46238,dontshow
Pontevedra,36,36.4,24.1,12.3,9,Gondomar,m36021,dontshow
Madrid,28,38,25.7,12.3,8,Humanes de Madrid,m28073,dontshow
Barcelona,8,43.2,30.9,12.3,4,Súria,m8274,dontshow
"A Coruña",15,29.6,17.4,12.2,10,Ordes,m15059,dontshow
Alicante,3,33.7,21.5,12.2,5,Gata de Gorgos,m3071,dontshow
Huelva,21,36.7,24.5,12.2,8,Bollullos Par del Condado,m21013,dontshow
Almería,4,37.6,25.4,12.2,3,Viator,m4101,dontshow
Tarragona,43,40.5,28.3,12.2,12,Amposta,m43014,dontshow
Madrid,28,40.8,28.6,12.2,8,Paracuellos de Jarama,m28104,dontshow
León,24,44.7,32.5,12.2,46,Ponferrada,m24115,dontshow
Barcelona,8,45.1,32.9,12.2,5,Santa Coloma de Cervelló,m8244,dontshow
Barcelona,8,47,34.8,12.2,2,"Torre de Claramunt, La",m8286,dontshow
Barcelona,8,47.9,35.7,12.2,7,Abrera,m8001,dontshow
Barcelona,8,50.8,38.6,12.2,6,Sant Andreu de Llavaneres,m8197,dontshow
"Illes Balears,",7,23.6,11.5,12.1,3,Selva,m7058,dontshow
Castellón,12,31.9,19.8,12.1,24,"Vall d'Uixó, la",m12126,dontshow
Lugo,27,32.5,20.4,12.1,7,Foz,m27019,dontshow
"Las Palmas",35,32.7,20.6,12.1,6,Moya,m35013,dontshow
"Illes Balears,",7,35,22.9,12.1,5,Campos,m7013,dontshow
Toledo,45,35.3,23.2,12.1,6,Fuensalida,m45066,dontshow
Ourense,32,39.6,27.5,12.1,9,Verín,m32085,dontshow
Barcelona,8,47.9,35.8,12.1,6,Premià de Dalt,m8230,dontshow
Sevilla,41,50,37.9,12.1,11,Marchena,m41060,dontshow
Barcelona,8,52.3,40.2,12.1,12,Badia del Vallès,m8904,dontshow
Navarra,31,35.6,23.6,12,11,Barañain,m31901,dontshow
Pontevedra,36,36.4,24.4,12,7,"Grove, O",m36022,dontshow
Córdoba,14,40.8,28.8,12,9,"Carlota, La",m14017,dontshow
Granada,18,45.6,33.6,12,16,Baza,m18023,dontshow
Barcelona,8,50.2,38.2,12,23,Barberà del Vallès,m8252,dontshow
Barcelona,8,50.4,38.4,12,5,"Ametlla del Vallès, L'",m8005,dontshow
Santa Cruz de Tenerife,38,26.4,14.5,11.9,7,"Victoria de Acentejo, La",m38051,dontshow
Valencia,46,28.8,16.9,11.9,7,Benaguasil,m46051,dontshow
Valencia,46,32.6,20.7,11.9,16,Sueca,m46235,dontshow
Valencia,46,33.6,21.7,11.9,12,Puçol,m46205,dontshow
Alicante,3,38.2,26.3,11.9,26,Petrer,m3104,dontshow
Valencia,46,38.3,26.4,11.9,17,Alfafar,m46022,dontshow
Lugo,27,38.4,26.5,11.9,6,Ribadeo,m27051,dontshow
Jaén,23,38.7,26.8,11.9,5,Santiago-Pontones,m23904,dontshow
Madrid,28,43.1,31.2,11.9,5,Meco,m28083,dontshow
Álava,1,43.5,31.6,11.9,13,Laudio/Llodio,m1036,dontshow
"Illes Balears,",7,44.7,32.8,11.9,15,Maó,m7032,dontshow
Barcelona,8,48.5,36.6,11.9,4,Sant Antoni de Vilamajor,m8198,dontshow
Málaga,29,31.2,19.4,11.8,3,Villanueva de la Concepción,m29902,dontshow
Cádiz,11,36.5,24.7,11.8,13,Ubrique,m11038,dontshow
Cádiz,11,40,28.2,11.8,9,Vejer de la Frontera,m11039,dontshow
Girona,17,48.8,37,11.8,11,Palamós,m17118,dontshow
Barcelona,8,49,37.2,11.8,5,"Roca del Vallès, La",m8181,dontshow
Pontevedra,36,31.6,19.9,11.7,15,Lalín,m36024,dontshow
Pontevedra,36,33,21.3,11.7,12,Tui,m36055,dontshow
Tarragona,43,41.3,29.6,11.7,2,Banyeres del Penedès,m43020,dontshow
Barcelona,8,43.2,31.5,11.7,2,Monistrol de Montserrat,m8127,dontshow
Asturias,33,43.6,31.9,11.7,11,Aller,m33002,dontshow
Murcia,30,27.1,15.5,11.6,6,Fortuna,m30020,dontshow
Alicante,3,37.3,25.7,11.6,23,Novelda,m3093,dontshow
"A Coruña",15,39.1,27.5,11.6,8,Muros,m15053,dontshow
Córdoba,14,39.8,28.2,11.6,6,Posadas,m14053,dontshow
Bizkaia,48,43.5,31.9,11.6,11,Valle de Trápaga-Trapagaran,m48080,dontshow
León,24,44.8,33.2,11.6,19,San Andrés del Rabanedo,m24142,dontshow
Barcelona,8,44.9,33.3,11.6,4,Sant Esteve Sesrovires,m8208,dontshow
Huesca,22,46.4,34.8,11.6,10,Fraga,m22112,dontshow
Alicante,3,46.8,35.2,11.6,2,Finestrat,m3069,dontshow
Huelva,21,48.5,36.9,11.6,11,Aljaraque,m21002,dontshow
Lleida,25,53.2,41.6,11.6,4,Alcarràs,m25011,dontshow
"A Coruña",15,33.6,22.1,11.5,5,Cee,m15023,dontshow
Toledo,45,37.5,26,11.5,2,Camarena,m45031,dontshow
Pontevedra,36,40.8,29.3,11.5,13,Sanxenxo,m36051,dontshow
