provincianombre,provincia,maxabs,minabs,brecha.sc,count.sc,municipio,zona
Valencia/Valéncia,46,22.8,22.2,0.6,2,Serra,46228
Segovia,40,23.8,23.2,0.6,2,Carbonero el Mayor,40043
Lugo,27,24.1,23.5,0.6,2,Baralla,27901
Badajoz,6,25,24.4,0.6,2,Villar del Rey,6155
Teruel,44,26.5,25.9,0.6,2,Híjar,44122
Badajoz,6,29.2,28.6,0.6,2,Solana de los Barros,6126
Tarragona,43,33.6,33,0.6,2,"Espluga de Francolí, L'",43054
Barcelona,8,39.5,38.9,0.6,2,Sant Cebrià de Vallalta,8203
Ciudad Real,13,11.4,10.7,0.7,2,Pozuelo de Calatrava,13066
Ciudad Real,13,13.9,13.2,0.7,2,Albaladejo,13004
Sevilla,41,15.2,14.5,0.7,2,Badolatosa,41014
Albacete,2,17.8,17.1,0.7,2,Elche de la Sierra,2030
"Palmas, Las",35,17.8,17.1,0.7,2,Tejeda,35025
Lleida,25,18.7,18,0.7,2,Aitona,25038
Málaga,29,19,18.3,0.7,2,Cañete la Real,29035
Badajoz,6,20.4,19.7,0.7,2,Salvatierra de los Barros,6117
Badajoz,6,22.2,21.5,0.7,2,Villalba de los Barros,6152
Cuenca,16,25.2,24.5,0.7,2,Huete,16112
Bizkaia,48,28.8,28.1,0.7,2,Zamudio,48905
Girona,17,36.2,35.5,0.7,2,"Jonquera, La",17086
"Balears, Illes",7,40.9,40.2,0.7,3,Sant Joan de Labritja,7050
Cuenca,16,11.4,10.6,0.8,2,Ledaña,16118
Albacete,2,12.7,11.9,0.8,2,Balazote,2012
Sevilla,41,12.8,12,0.8,4,Casariche,41026
Ciudad Real,13,16.6,15.8,0.8,2,Chillón,13038
Córdoba,14,19.8,19,0.8,2,Pedro Abad,14050
Badajoz,6,23.8,23,0.8,2,Valencia del Ventoso,6141
Tarragona,43,27.8,27,0.8,2,Móra la Nova,43094
Navarra,31,27.9,27.1,0.8,2,Andosilla,31015
Albacete,2,29,28.2,0.8,2,Montealegre del Castillo,2051
Girona,17,31,30.2,0.8,2,Quart,17142
Asturias,33,34.5,33.7,0.8,2,Caso,33015
Granada,18,37.6,36.8,0.8,2,Cijuela,18048
Valencia/Valéncia,46,13.3,12.4,0.9,2,"Pobla del Duc, la",46200
Valencia/Valéncia,46,14,13.1,0.9,2,Aielo de Malferit,46042
Badajoz,6,14.3,13.4,0.9,2,Burguillos del Cerro,6022
Toledo,45,16.6,15.7,0.9,2,Navalcán,45110
Cuenca,16,17.5,16.6,0.9,4,Quintanar del Rey,16175
Cuenca,16,20,19.1,0.9,2,Villanueva de la Jara,16251
Cáceres,10,20.4,19.5,0.9,2,Montánchez,10126
Toledo,45,20.5,19.6,0.9,2,Santa Olalla,45158
Ourense,32,24.2,23.3,0.9,2,San Cristovo de Cea,32076
Navarra,31,24.5,23.6,0.9,2,Carcastillo,31067
Asturias,33,24.6,23.7,0.9,2,Allande,33001
Navarra,31,25.4,24.5,0.9,2,Lesaka,31153
Santa Cruz de Tenerife,38,26.7,25.8,0.9,2,Frontera,38013
Navarra,31,27.2,26.3,0.9,4,Huarte/Uharte,31122
Sevilla,41,29.8,28.9,0.9,2,Carrión de los Céspedes,41025
Castellón/Castelló,12,11.3,10.3,1,2,"Vilavella, la",12136
Valencia/Valéncia,46,16.5,15.5,1,3,Llutxent,46150
Castellón/Castelló,12,17.8,16.8,1,2,Artana,12016
Valencia/Valéncia,46,18,17,1,2,"Llosa de Ranes, la",46157
Cantabria,39,19.9,18.9,1,2,Hermandad de Campoo de Suso,39032
Cuenca,16,20.1,19.1,1,2,Sisante,16198
Teruel,44,21,20,1,2,Cella,44076
Badajoz,6,23.8,22.8,1,2,"Roca de la Sierra, La",6115
Lugo,27,24.7,23.7,1,3,Castroverde,27011
Cáceres,10,25.6,24.6,1,2,Losar de la Vera,10110
Granada,18,37.8,36.8,1,2,Cájar,18036
Jaén,23,14.6,13.5,1.1,2,Siles,23082
Toledo,45,14.7,13.6,1.1,2,Lagartera,45082
Córdoba,14,14.8,13.7,1.1,3,Adamuz,14001
Jaén,23,14.8,13.7,1.1,2,Torres,23090
"Balears, Illes",7,15.6,14.5,1.1,2,Maria de la Salut,7035
Ourense,32,16.4,15.3,1.1,2,Muíños,32051
Sevilla,41,21.1,20,1.1,3,Pedrera,41072
Bizkaia,48,23.3,22.2,1.1,2,Bakio,48012
"Rioja, La",26,23.7,22.6,1.1,2,Navarrete,26105
"Rioja, La",26,23.8,22.7,1.1,2,Cenicero,26046
Asturias,33,25.9,24.8,1.1,2,"Regueras, Las",33054
Zaragoza,50,27.4,26.3,1.1,2,Gallur,50118
Barcelona,8,30.2,29.1,1.1,2,Sant Martí Sarroca,8227
Girona,17,37.4,36.3,1.1,2,Ribes de Freser,17145
Ciudad Real,13,13.3,12.1,1.2,3,Villahermosa,13089
Jaén,23,15.3,14.1,1.2,2,Ibros,23046
Lugo,27,15.8,14.6,1.2,2,Samos,27055
Lugo,27,16.8,15.6,1.2,2,Alfoz,27002
Cáceres,10,19.5,18.3,1.2,2,Almoharín,10020
"Balears, Illes",7,19.8,18.6,1.2,2,Vilafranca de Bonany,7065
Badajoz,6,22.3,21.1,1.2,3,Santa Amalia,6120
Málaga,29,22.7,21.5,1.2,2,Valle de Abdalajís,29093
Lleida,25,24.3,23.1,1.2,2,Seròs,25204
Cáceres,10,24.9,23.7,1.2,2,Madroñera,10113
Girona,17,31.4,30.2,1.2,2,Breda,17027
Asturias,33,31.4,30.2,1.2,2,Boal,33007
"Rioja, La",26,31.5,30.3,1.2,2,Pradejón,26117
Madrid,28,31.5,30.3,1.2,2,Valdetorres de Jarama,28164
Jaén,23,10.8,9.5,1.3,2,Campillo de Arenas,23019
Jaén,23,11.4,10.1,1.3,2,Jamilena,23051
Toledo,45,13.8,12.5,1.3,4,Villafranca de los Caballeros,45187
Córdoba,14,14.1,12.8,1.3,2,Cardeña,14016
Toledo,45,16.8,15.5,1.3,2,Urda,45177
Pontevedra,36,17.8,16.5,1.3,3,Rodeiro,36047
Pontevedra,36,18.7,17.4,1.3,3,Arbo,36001
Jaén,23,19.8,18.5,1.3,2,Orcera,23065
Huelva,21,20.2,18.9,1.3,2,Santa Olalla del Cala,21069
Granada,18,20.5,19.2,1.3,2,Cogollos de la Vega,18050
Ávila,5,21.1,19.8,1.3,2,"Hoyo de Pinares, El",5102
Ciudad Real,13,21.7,20.4,1.3,3,Viso del Marqués,13098
León,24,24.3,23,1.3,2,Santa María del Páramo,24157
Granada,18,24.9,23.6,1.3,2,Benamaurel,18029
Ourense,32,24.9,23.6,1.3,2,Maceda,32043
Huelva,21,25.2,23.9,1.3,2,Villarrasa,21077
"Coruña, A",15,26.7,25.4,1.3,3,San Sadurniño,15076
Cáceres,10,28.4,27.1,1.3,2,Jarandilla de la Vera,10105
Zaragoza,50,28.7,27.4,1.3,2,Calatorao,50068
Almería,4,29.5,28.2,1.3,2,Pechina,4074
Toledo,45,30.1,28.8,1.3,2,Recas,45145
Ávila,5,35.2,33.9,1.3,2,Sotillo de la Adrada,5240
Girona,17,37,35.7,1.3,3,Anglès,17008
Gipuzkoa,20,37.1,35.8,1.3,3,Astigarraga,20903
Gipuzcoa,20,37.1,35.8,1.3,3,Astigarraga,20903
Teruel,44,39.7,38.4,1.3,2,Monreal del Campo,44153
Jaén,23,10.9,9.5,1.4,2,Jimena,23052
Badajoz,6,12.8,11.4,1.4,3,Monterrubio de la Serena,6087
Badajoz,6,14.9,13.5,1.4,3,Herrera del Duque,6063
Badajoz,6,15.3,13.9,1.4,2,Casas de Don Pedro,6033
Sevilla,41,15.7,14.3,1.4,2,"Corrales, Los",41037
Toledo,45,16.7,15.3,1.4,2,Noblejas,45115
Málaga,29,17.3,15.9,1.4,2,Almargen,29010
"Coruña, A",15,20.6,19.2,1.4,2,Frades,15038
Valladolid,47,21.2,19.8,1.4,2,Pedrajas de San Esteban,47112
Sevilla,41,22.9,21.5,1.4,2,Peñaflor,41074
Almería,4,24.8,23.4,1.4,2,Láujar de Andarax,4057
Pontevedra,36,26,24.6,1.4,2,Catoira,36010
Toledo,45,27.2,25.8,1.4,2,Borox,45021
Segovia,40,34.2,32.8,1.4,2,Palazuelos de Eresma,40155
Barcelona,8,34.8,33.4,1.4,2,"Palma de Cervelló, La",8905
Barcelona,8,37.1,35.7,1.4,2,Cabrera de Mar,8029
Ourense,32,10.3,8.8,1.5,2,Vilardevós,32091
