provincianombre,provincia,maxabs,minabs,brecha.sc,count.sc,municipio,zona
Cáceres,10,20.6,18,2.6,2,Zarza la Mayor,10218
Badajoz,6,23.7,21.1,2.6,2,Higuera de Vargas,6066
Cáceres,10,25.8,23.2,2.6,3,Malpartida de Plasencia,10116
Huelva,21,27,24.4,2.6,2,Puebla de Guzmán,21058
Palencia,34,27.1,24.5,2.6,3,Cervera de Pisuerga,34056
Palencia,34,30.1,27.5,2.6,2,Dueñas,34069
Madrid,28,30.3,27.7,2.6,3,Moraleja de Enmedio,28089
Navarra,31,31.7,29.1,2.6,2,Murchante,31176
Segovia,40,31.8,29.2,2.6,3,Cantalejo,40040
Navarra,31,31.9,29.3,2.6,3,Lodosa,31157
Madrid,28,40.1,37.5,2.6,3,Nuevo Baztán,28100
Jaén,23,11.8,9.1,2.7,2,Noalejo,23064
Córdoba,14,12.1,9.4,2.7,2,Palenciana,14048
Cádiz,11,15.2,12.5,2.7,4,Alcalá del Valle,11002
Badajoz,6,19.2,16.5,2.7,2,Alconchel,6007
Córdoba,14,19.6,16.9,2.7,2,Villaralto,14072
Jaén,23,20.8,18.1,2.7,4,Huelma,23044
Valencia/Valéncia,46,21.8,19.1,2.7,3,Albalat dels Sorells,46009
Cáceres,10,23.4,20.7,2.7,2,Guadalupe,10087
Sevilla,41,24.9,22.2,2.7,3,Guadalcanal,41048
Ávila,5,27.8,25.1,2.7,2,"Barco de Ávila, El",5021
Guadalajara,19,29.2,26.5,2.7,2,Yunquera de Henares,19331
Cáceres,10,30.4,27.7,2.7,2,Valverde del Fresno,10205
Barcelona,8,30.9,28.2,2.7,2,Sant Quirze de Besora,8237
Barcelona,8,47.2,44.5,2.7,2,Olivella,8148
"Coruña, A",15,13.3,10.5,2.8,2,Sobrado,15080
Jaén,23,14.4,11.6,2.8,2,Begíjar,23014
Jaén,23,17.1,14.3,2.8,3,Torreblascopedro,23085
"Coruña, A",15,18.8,16,2.8,2,Santiso,15079
Valencia/Valéncia,46,19.5,16.7,2.8,2,Albuixech,46014
Cádiz,11,21.9,19.1,2.8,2,Grazalema,11019
Valencia/Valéncia,46,22.5,19.7,2.8,2,Chelva,46106
Córdoba,14,24.1,21.3,2.8,3,Montalbán de Córdoba,14040
Soria,42,25,22.2,2.8,2,Ágreda,42004
Ávila,5,25.7,22.9,2.8,2,Piedrahíta,5186
Lugo,27,26.7,23.9,2.8,2,Pantón,27041
Cáceres,10,28.1,25.3,2.8,3,Hervás,10096
Castellón/Castelló,12,28.9,26.1,2.8,2,Villafranca del Cid/Vilafranca,12129
Huelva,21,30.2,27.4,2.8,2,San Bartolomé de la Torre,21063
Asturias,33,30.3,27.5,2.8,2,Bimenes,33006
Huelva,21,35.1,32.3,2.8,2,"Cerro de Andévalo, El",21023
Bizkaia,48,36.3,33.5,2.8,4,Berriz,48019
Toledo,45,17.1,14.2,2.9,2,Villatobas,45198
Sevilla,41,17.8,14.9,2.9,5,Herrera,41050
Ciudad Real,13,18.6,15.7,2.9,2,Castellar de Santiago,13033
Lugo,27,19.5,16.6,2.9,2,Lourenzá,27027
Toledo,45,19.8,16.9,2.9,4,"Puebla de Almoradiel, La",45135
Valencia/Valéncia,46,20.1,17.2,2.9,3,Bocairent,46072
Badajoz,6,20.7,17.8,2.9,3,Zalamea de la Serena,6160
Badajoz,6,21.4,18.5,2.9,2,Siruela,6125
Sevilla,41,23.4,20.5,2.9,8,Estepa,41041
Pontevedra,36,23.7,20.8,2.9,2,Fornelos de Montes,36019
Ourense,32,24.1,21.2,2.9,2,Amoeiro,32002
Almería,4,25.4,22.5,2.9,2,Canjáyar,4030
Toledo,45,25.8,22.9,2.9,7,Quintanar de la Orden,45142
Cáceres,10,26.1,23.2,2.9,2,Zorita,10219
Córdoba,14,27.3,24.4,2.9,4,Doña Mencía,14022
Cáceres,10,27.7,24.8,2.9,3,Torrejoncillo,10189
Ourense,32,28,25.1,2.9,3,Toén,32081
Cádiz,11,28.4,25.5,2.9,3,Paterna de Rivera,11025
Toledo,45,28.8,25.9,2.9,2,Valmojado,45180
Zaragoza,50,29,26.1,2.9,2,Sádaba,50230
Granada,18,29.9,27,2.9,2,Zújar,18194
Ávila,5,30.2,27.3,2.9,5,Arenas de San Pedro,5014
Huesca,22,33.8,30.9,2.9,3,Graus,22117
Zaragoza,50,33.8,30.9,2.9,2,Cadrete,50066
Bizkaia,48,36,33.1,2.9,3,Gorliz,48043
Toledo,45,36.1,33.2,2.9,2,"Ventas de Retamosa, Las",45183
Toledo,45,36.4,33.5,2.9,2,Numancia de la Sagra,45119
Cáceres,10,15.3,12.3,3,2,Madrigalejo,10112
Albacete,2,17.4,14.4,3,2,Alpera,2010
Cantabria,39,17.5,14.5,3,2,Penagos,39048
Valencia/Valéncia,46,18.4,15.4,3,3,Benigánim,46062
Alicante,3,19.2,16.2,3,3,Biar,3043
Sevilla,41,19.9,16.9,3,4,"Saucejo, El",41090
Zamora,49,20.6,17.6,3,2,Fermoselle,49065
Cáceres,10,22,19,3,2,Cañamero,10044
Ourense,32,22.2,19.2,3,2,Castrelo de Miño,32022
Sevilla,41,24.1,21.1,3,2,Aguadulce,41001
Valencia/Valéncia,46,26.3,23.3,3,2,Simat de la Valldigna,46231
Sevilla,41,28,25,3,4,"Campana, La",41022
Barcelona,8,28.9,25.9,3,2,Calaf,8031
"Coruña, A",15,30.9,27.9,3,3,Cabanas,15015
Cádiz,11,32.2,29.2,3,4,Alcalá de los Gazules,11001
"Balears, Illes",7,33.2,30.2,3,3,Consell,7016
Lleida,25,33.4,30.4,3,2,Linyola,25122
Lleida,25,35.1,32.1,3,2,"Pobla de Segur, La",25171
Girona,17,36.6,33.6,3,3,Sant Hilari Sacalm,17164
Gipuzkoa,20,37.8,34.8,3,3,Villabona,20075
Gipuzcoa,20,37.8,34.8,3,3,Villabona,20075
Badajoz,6,20.4,17.3,3.1,3,Arroyo de San Serván,6012
Badajoz,6,20.9,17.8,3.1,4,Fregenal de la Sierra,6050
Toledo,45,21.9,18.8,3.1,4,Yepes,45202
"Rioja, La",26,23.2,20.1,3.1,2,Quel,26120
Sevilla,41,24.7,21.6,3.1,2,"Rubio, El",41084
Cáceres,10,26.5,23.4,3.1,2,Cabezuela del Valle,10035
Ourense,32,26.5,23.4,3.1,2,"Irixo, O",32035
Sevilla,41,28.4,25.3,3.1,2,"Lantejuela, La",41052
Girona,17,30.5,27.4,3.1,2,Vilablareix,17215
Palencia,34,30.5,27.4,3.1,2,Osorno la Mayor,34901
Burgos,9,31.1,28,3.1,2,Belorado,9048
Asturias,33,32.4,29.3,3.1,2,Teverga,33072
Ciudad Real,13,32.5,29.4,3.1,4,Argamasilla de Calatrava,13020
Zaragoza,50,33,29.9,3.1,2,Borja,50055
Tarragona,43,34.8,31.7,3.1,3,Ulldecona,43156
Huelva,21,35.3,32.2,3.1,4,Rociana del Condado,21061
Lleida,25,36.3,33.2,3.1,2,Torrefarrera,25228
"Rioja, La",26,37.8,34.7,3.1,4,Villamediana de Iregua,26168
Valladolid,47,13.6,10.4,3.2,2,Nava del Rey,47101
Jaén,23,15.8,12.6,3.2,2,Chiclana de Segura,23029
Valencia/Valéncia,46,19.3,16.1,3.2,2,Llombai,46156
Cáceres,10,20.2,17,3.2,2,Brozas,10032
Málaga,29,21.8,18.6,3.2,3,Teba,29089
Castellón/Castelló,12,22.2,19,3.2,4,Torreblanca,12117
Córdoba,14,22.6,19.4,3.2,4,Nueva Carteya,14046
Ourense,32,24.3,21.1,3.2,2,Baños de Molgas,32007
Santa Cruz de Tenerife,38,27.4,24.2,3.2,3,Valverde,38048
Asturias,33,28.1,24.9,3.2,3,Morcín,33038
Santa Cruz de Tenerife,38,28.3,25.1,3.2,2,Hermigua,38021
Araba/Álava,1,30.4,27.2,3.2,2,Oyón-Oion,1043
Zaragoza,50,31.3,28.1,3.2,2,Fuentes de Ebro,50115
Madrid,28,32.2,29,3.2,3,Torrejón de Velasco,28150
Madrid,28,33.4,30.2,3.2,3,Camarma de Esteruelas,28032
Tarragona,43,34.7,31.5,3.2,2,Santa Coloma de Queralt,43139
Valladolid,47,37.9,34.7,3.2,2,Santovenia de Pisuerga,47155
"Coruña, A",15,20.6,17.3,3.3,2,Boimorto,15010
Málaga,29,21.7,18.4,3.3,2,Humilladero,29059
Málaga,29,22.3,19,3.3,4,Alameda,29001
Palencia,34,23.4,20.1,3.3,2,Velilla del Río Carrión,34199
Teruel,44,24,20.7,3.3,2,Alcorisa,44014
Cantabria,39,26.8,23.5,3.3,4,Cartes,39018
Valladolid,47,27.3,24,3.3,2,Cabezón de Pisuerga,47027
Santa Cruz de Tenerife,38,27.4,24.1,3.3,3,"Guancha, La",38018
Sevilla,41,29.8,26.5,3.3,3,Cañada Rosal,41901
Burgos,9,30.5,27.2,3.3,2,Roa,9321
Badajoz,6,32.1,28.8,3.3,6,"Santos de Maimona, Los",6122
Valladolid,47,32.8,29.5,3.3,3,Simancas,47161
Madrid,28,35.5,32.2,3.3,4,Sevilla la Nueva,28141
Badajoz,6,12.9,9.5,3.4,5,Campanario,6028
Cantabria,39,14.1,10.7,3.4,3,Valdáliga,39091
Jaén,23,15.8,12.4,3.4,3,Villanueva de la Reina,23096
Toledo,45,19.1,15.7,3.4,3,Navahermosa,45109
Ourense,32,22.1,18.7,3.4,2,"Bola, A",32014
Albacete,2,24,20.6,3.4,3,Casas-Ibáñez,2024
Badajoz,6,24,20.6,3.4,3,Ribera del Fresno,6113
Málaga,29,25.5,22.1,3.4,2,Sierra de Yeguas,29088
Salamanca,37,26.1,22.7,3.4,3,Alba de Tormes,37008
Lugo,27,26.4,23,3.4,3,"Pastoriza, A",27044
Córdoba,14,26.7,23.3,3.4,3,Villafranca de Córdoba,14067
Cantabria,39,27.3,23.9,3.4,2,Santillana del Mar,39076
Jaén,23,28.1,24.7,3.4,2,Rus,23074
Alicante,3,28.6,25.2,3.4,2,"Verger, el",3138
Madrid,28,29.9,26.5,3.4,4,Daganzo de Arriba,28053
Madrid,28,32.7,29.3,3.4,3,Chinchón,28052
Tarragona,43,36.2,32.8,3.4,2,"Ampolla, L'",43906
Lleida,25,42.4,39,3.4,3,Guissona,25110
Jaén,23,21.2,17.7,3.5,2,"Puerta de Segura, La",23072
Granada,18,22.9,19.4,3.5,2,Salar,18171
Badajoz,6,23.8,20.3,3.5,4,Alburquerque,6006
Lugo,27,24,20.5,3.5,3,"Saviñao, O",27058
"Coruña, A",15,24.5,21,3.5,3,Paderne,15064
Albacete,2,27.1,23.6,3.5,2,Liétor,2044
Ávila,5,27.3,23.8,3.5,4,"Navas del Marqués, Las",5168
Toledo,45,30.1,26.6,3.5,2,Pepino,45132
Gipuzkoa,20,37.2,33.7,3.5,4,Usurbil,20073
Gipuzcoa,20,37.2,33.7,3.5,4,Usurbil,20073
Málaga,29,38.8,35.3,3.5,2,Ojén,29076
Guadalajara,19,16.8,13.2,3.6,2,Sacedón,19245
Sevilla,41,18.6,15,3.6,4,Aznalcóllar,41013
Cantabria,39,19.2,15.6,3.6,2,Puente Viesgo,39056
Jaén,23,19.8,16.2,3.6,4,Vilches,23094
Pontevedra,36,20.8,17.2,3.6,3,Portas,36040
Albacete,2,22,18.4,3.6,2,Villamalea,2079
Lugo,27,23.4,19.8,3.6,2,"Páramo, O",27043
"Coruña, A",15,27.4,23.8,3.6,5,NA,15902
Ourense,32,28.2,24.6,3.6,2,Padrenda,32056
Guadalajara,19,35.4,31.8,3.6,3,Sigüenza,19257
Guadalajara,19,37.2,33.6,3.6,5,Alovera,19024
Albacete,2,17.4,13.7,3.7,2,Ontur,2056
Ávila,5,19.3,15.6,3.7,3,Cebreros,5057
Valencia/Valéncia,46,21.8,18.1,3.7,3,Enguera,46118
Palencia,34,24.5,20.8,3.7,2,Carrión de los Condes,34047
Badajoz,6,25.2,21.5,3.7,2,"Garrovilla, La",6058
Burgos,9,25.9,22.2,3.7,3,Villarcayo de Merindad de Castilla la Vieja,9903
Córdoba,14,27.3,23.6,3.7,4,Belmez,14009
Madrid,28,28.8,25.1,3.7,3,Miraflores de la Sierra,28085
"Balears, Illes",7,30.1,26.4,3.7,3,Santa María del Camí,7056
Albacete,2,30.7,27,3.7,5,Tobarra,2074
Madrid,28,30.8,27.1,3.7,6,Villanueva del Pardillo,28177
Toledo,45,31.8,28.1,3.7,3,Esquivias,45064
Gipuzkoa,20,37,33.3,3.7,8,Zumarraga,20080
Gipuzcoa,20,37,33.3,3.7,8,Zumarraga,20080
Albacete,2,16.6,12.8,3.8,2,Lezuza,2043
Badajoz,6,23.7,19.9,3.8,4,Navalvillar de Pela,6091
Badajoz,6,24.7,20.9,3.8,2,Puebla de Obando,6107
"Coruña, A",15,26,22.2,3.8,3,Val do Dubra,15088
Bizkaia,48,26.8,23,3.8,2,Sopuerta,48086
Cuenca,16,27.4,23.6,3.8,2,Iniesta,16113
Huesca,22,28.1,24.3,3.8,2,Zaidín,22254
Navarra,31,28.5,24.7,3.8,2,Mendavia,31165
Alicante,3,30.3,26.5,3.8,2,"Montesinos, Los",3903
Huelva,21,32.8,29,3.8,2,Almonaster la Real,21004
Sevilla,41,35.2,31.4,3.8,4,Cazalla de la Sierra,41032
Barcelona,8,39.8,36,3.8,2,Sant Salvador de Guardiola,8098
Córdoba,14,15.8,11.9,3.9,3,Luque,14039
Toledo,45,18.1,14.2,3.9,3,Santa Cruz de la Zarza,45156
Valencia/Valéncia,46,22.4,18.5,3.9,2,Catadau,46093
Lugo,27,22.6,18.7,3.9,2,Paradela,27042
Santa Cruz de Tenerife,38,22.9,19,3.9,4,San Juan de la Rambla,38034
Almería,4,24.3,20.4,3.9,2,Vélez-Blanco,4098
Toledo,45,24.5,20.6,3.9,3,Menasalbas,45098
Lugo,27,24.8,20.9,3.9,6,Guitiriz,27022
Cuenca,16,24.9,21,3.9,2,"Mesas, Las",16124
Pontevedra,36,25.4,21.5,3.9,5,Cotobade,36012
Jaén,23,27.2,23.3,3.9,4,Lopera,23056
Málaga,29,28.3,24.4,3.9,5,Campillos,29032
"Balears, Illes",7,28.6,24.7,3.9,5,Binissalem,7008
Madrid,28,28.6,24.7,3.9,3,Guadalix de la Sierra,28067
Ourense,32,29.1,25.2,3.9,2,Viana do Bolo,32086
Bizkaia,48,30.6,26.7,3.9,3,Igorre,48094
Salamanca,37,30.8,26.9,3.9,2,Cabrerizos,37067
Badajoz,6,32,28.1,3.9,4,Monesterio,6085
Soria,42,32.2,28.3,3.9,3,San Esteban de Gormaz,42162
Gipuzkoa,20,35.2,31.3,3.9,2,Eskoriatza,20034
Gipuzcoa,20,35.2,31.3,3.9,2,Eskoriatza,20034
Segovia,40,35.8,31.9,3.9,2,"Lastrilla, La",40112
"Coruña, A",15,37.9,34,3.9,4,Mugardos,15051
"Coruña, A",15,40,36.1,3.9,5,Valdoviño,15087
Ciudad Real,13,17.1,13.1,4,3,Torrenueva,13085
Cuenca,16,17.9,13.9,4,2,Belmonte,16033
Albacete,2,20.4,16.4,4,3,Munera,2053
Castellón/Castelló,12,22.9,18.9,4,2,Jérica,12071
León,24,24.1,20.1,4,2,Toral de los Vados,24206
Lugo,27,24.4,20.4,4,2,Bóveda,27008
Palencia,34,25.1,21.1,4,3,Saldaña,34157
Granada,18,25.2,21.2,4,3,Cúllar,18056
Madrid,28,25.9,21.9,4,3,"Boalo, El",28023
Guadalajara,19,26.5,22.5,4,3,Molina de Aragón,19190
Zaragoza,50,26.8,22.8,4,2,Cariñena,50073
Girona,17,27.3,23.3,4,2,Camprodon,17039
Asturias,33,27.4,23.4,4,2,Cabrales,33008
Burgos,9,28.6,24.6,4,2,Lerma,9194
Girona,17,29.1,25.1,4,2,Forallac,17902
Lugo,27,29.1,25.1,4,5,Castro de Rei,27010
Madrid,28,30.4,26.4,4,2,Talamanca de Jarama,28145
Cádiz,11,31,27,4,6,Jimena de la Frontera,11021
Navarra,31,31.2,27.2,4,3,Viana,31251
Bizkaia,48,31.7,27.7,4,2,Busturia,48021
Valladolid,47,32.8,28.8,4,3,Boecillo,47023
Granada,18,32.9,28.9,4,2,Colomera,18051
Guadalajara,19,37.2,33.2,4,4,Villanueva de la Torre,19319
Burgos,9,37.5,33.5,4,4,Briviesca,9056
Barcelona,8,45.7,41.7,4,2,Cabrils,8030
Huelva,21,18.1,14,4.1,3,Villalba del Alcor,21074
Granada,18,18.7,14.6,4.1,2,Guadahortuna,18088
Badajoz,6,19.4,15.3,4.1,2,Lobón,6072
Badajoz,6,21.2,17.1,4.1,5,Fuente del Maestre,6054
Cuenca,16,22.7,18.6,4.1,2,Horcajo de Santiago,16106
Valencia/Valéncia,46,23.1,19,4.1,4,Villanueva de Castellón,46257
Valladolid,47,24.5,20.4,4.1,4,Olmedo,47104
Badajoz,6,24.8,20.7,4.1,3,Santa Marta,6121
Almería,4,25.3,21.2,4.1,5,Carboneras,4032
Cuenca,16,26.3,22.2,4.1,4,Mota del Cuervo,16133
Valencia/Valéncia,46,26.3,22.2,4.1,3,Rocafort,46216
León,24,27.4,23.3,4.1,2,Valderas,24181
Bizkaia,48,29.1,25,4.1,6,Balmaseda,48090
Huesca,22,29.4,25.3,4.1,3,Sariñena,22213
Toledo,45,29.9,25.8,4.1,2,"Pueblanueva, La",45137
Salamanca,37,30.2,26.1,4.1,4,Peñaranda de Bracamonte,37246
Ciudad Real,13,31.1,27,4.1,5,Argamasilla de Alba,13019
Gipuzkoa,20,35.6,31.5,4.1,3,Orio,20061
Gipuzcoa,20,35.6,31.5,4.1,3,Orio,20061
Madrid,28,38.8,34.7,4.1,5,Griñón,28066
Barcelona,8,40.8,36.7,4.1,5,Tiana,8282
Jaén,23,15.5,11.3,4.2,2,Canena,23020
Jaén,23,15.8,11.6,4.2,2,Villardompardo,23098
Sevilla,41,23.8,19.6,4.2,2,"Pedroso, El",41073
Jaén,23,24.1,19.9,4.2,4,Peal de Becerro,23066
Toledo,45,27.5,23.3,4.2,4,"Villa de Don Fadrique, La",45186
Badajoz,6,27.9,23.7,4.2,4,Aceuchal,6002
Lugo,27,28.2,24,4.2,3,Barreiros,27005
Cantabria,39,28.9,24.7,4.2,3,Polanco,39054
Lugo,27,31.1,26.9,4.2,3,Taboada,27060
Castellón/Castelló,12,32.3,28.1,4.2,10,Benicasim/Benicàssim,12028
Soria,42,34.5,30.3,4.2,3,Burgo de Osma-Ciudad de Osma,42043
Araba/Álava,1,36,31.8,4.2,2,Iruña Oka/Iruña de Oca,1901
Lleida,25,36.8,32.6,4.2,2,Artesa de Segre,25034
Barcelona,8,37.2,33,4.2,3,Sant Hipòlit de Voltregà,8215
Granada,18,45.2,41,4.2,4,Cenes de la Vega,18047
Cuenca,16,17.9,13.6,4.3,3,Casasimarro,16066
Badajoz,6,19.7,15.4,4.3,3,Fuentes de León,6055
"Coruña, A",15,20.6,16.3,4.3,3,"Baña, A",15007
Toledo,45,22.8,18.5,4.3,3,Calera y Chozas,45028
Ourense,32,22.9,18.6,4.3,2,Leiro,32040
"Palmas, Las",35,22.9,18.6,4.3,3,Valleseco,35032
Valencia/Valéncia,46,22.9,18.6,4.3,3,Villalonga,46255
Badajoz,6,23.8,19.5,4.3,2,Valdelacalzada,6901
Valencia/Valéncia,46,25.7,21.4,4.3,4,Rafelbuñol/Rafelbunyol,46207
Ourense,32,26.4,22.1,4.3,3,Cartelle,32020
Madrid,28,27,22.7,4.3,2,Becerril de la Sierra,28018
Valencia/Valéncia,46,27.2,22.9,4.3,4,Almàssera,46032
Castellón/Castelló,12,27.3,23,4.3,2,Vall d'Alba,12124
Ourense,32,27.6,23.3,4.3,2,"Pobra de Trives, A",32063
Sevilla,41,27.8,23.5,4.3,3,"Puebla de los Infantes, La",41078
Almería,4,30.7,26.4,4.3,2,Lubrín,4059
Lleida,25,30.7,26.4,4.3,2,Juneda,25119
Cantabria,39,31,26.7,4.3,7,Santoña,39079
"Palmas, Las",35,31.3,27,4.3,4,Haría,35010
Toledo,45,36.7,32.4,4.3,2,Chozas de Canales,45056
Bizkaia,48,38,33.7,4.3,5,Berango,48016
Barcelona,8,45,40.7,4.3,4,Matadepera,8120
Cuenca,16,15.1,10.7,4.4,2,Campillo de Altobuey,16042
Lugo,27,15.6,11.2,4.4,2,"Incio, O",27024
Badajoz,6,19.1,14.7,4.4,5,Oliva de la Frontera,6093
Jaén,23,21.5,17.1,4.4,2,Bélmez de la Moraleda,23015
Ciudad Real,13,21.9,17.5,4.4,3,Carrión de Calatrava,13031
Lugo,27,22.1,17.7,4.4,3,Xove,27025
Ciudad Real,13,22.2,17.8,4.4,5,Moral de Calatrava,13058
Santa Cruz de Tenerife,38,22.7,18.3,4.4,2,Fasnia,38012
Cáceres,10,27.1,22.7,4.4,5,Montehermoso,10127
Cádiz,11,27.2,22.8,4.4,4,Prado del Rey,11026
León,24,27.2,22.8,4.4,2,Chozas de Abajo,24065
"Palmas, Las",35,27.2,22.8,4.4,7,Firgas,35008
Navarra,31,27.3,22.9,4.4,2,Buñuel,31057
"Coruña, A",15,28.1,23.7,4.4,4,Trazo,15086
Albacete,2,28.2,23.8,4.4,2,Chinchilla de Monte-Aragón,2029
Badajoz,6,28.5,24.1,4.4,3,Hornachos,6069
Badajoz,6,29,24.6,4.4,7,Jerez de los Caballeros,6070
Huelva,21,32.5,28.1,4.4,3,Paterna del Campo,21056
Córdoba,14,32.7,28.3,4.4,8,Fernán-Núñez,14027
Barcelona,8,36,31.6,4.4,2,Sant Pere de Torelló,8233
Sevilla,41,36.1,31.7,4.4,8,"Puebla de Cazalla, La",41077
Bizkaia,48,38.1,33.7,4.4,7,Sopelana,48085
Asturias,33,38.4,34,4.4,4,Noreña,33042
Cáceres,10,17.3,12.8,4.5,2,Garrovillas de Alconétar,10082
Toledo,45,18.6,14.1,4.5,2,Dosbarrios,45059
Huelva,21,21.9,17.4,4.5,3,Niebla,21053
Ciudad Real,13,23.7,19.2,4.5,5,Calzada de Calatrava,13027
Badajoz,6,25.1,20.6,4.5,6,Castuera,6036
Navarra,31,25.6,21.1,4.5,2,Cortes,31078
"Balears, Illes",7,27.9,23.4,4.5,4,Porreres,7043
Málaga,29,28.4,23.9,4.5,3,Cuevas de San Marcos,29049
"Coruña, A",15,28.5,24,4.5,6,Malpica de Bergantiños,15043
"Coruña, A",15,30.5,26,4.5,5,Zas,15093
"Rioja, La",26,30.7,26.2,4.5,4,Santo Domingo de la Calzada,26138
Navarra,31,32.5,28,4.5,4,San Adrián,31215
Cuenca,16,32.7,28.2,4.5,8,Tarancón,16203
Valladolid,47,35,30.5,4.5,5,Cistérniga,47052
Valladolid,47,35.3,30.8,4.5,4,Zaratán,47231
"Coruña, A",15,36.1,31.6,4.5,8,"Pontes de García Rodríguez, As",15070
Palencia,34,36.7,32.2,4.5,2,Herrera de Pisuerga,34083
"Coruña, A",15,37.4,32.9,4.5,9,Sada,15075
Barcelona,8,42.8,38.3,4.5,2,Balenyà,8017
Barcelona,8,45.7,41.2,4.5,3,Moià,8138
Albacete,2,17.8,13.2,4.6,2,Fuente-Álamo,2033
Valencia/Valéncia,46,19,14.4,4.6,4,Mogente/Moixent,46170
Murcia,30,22.5,17.9,4.6,4,Pliego,30032
Navarra,31,23.6,19,4.6,2,Fitero,31105
Lugo,27,23.9,19.3,4.6,4,"Corgo, O",27014
Navarra,31,24.3,19.7,4.6,4,Aranguren,31023
Cuenca,16,26.7,22.1,4.6,3,Motilla del Palancar,16134
Toledo,45,29.2,24.6,4.6,3,"Navalucillos, Los",45113
Araba/Álava,1,30.8,26.2,4.6,2,Ayala/Aiara,1010
Toledo,45,32.4,27.8,4.6,3,Añover de Tajo,45014
Palencia,34,32.6,28,4.6,4,Villamuriel de Cerrato,34225
Madrid,28,33.4,28.8,4.6,3,Hoyo de Manzanares,28072
Barcelona,8,37.6,33,4.6,2,Sant Julià de Vilatorta,8220
Girona,17,44.2,39.6,4.6,2,Riells i Viabrea,17146
Badajoz,6,16.8,12.1,4.7,2,Cabeza la Vaca,6024
Lugo,27,19.5,14.8,4.7,2,"Valadouro, O",27063
Alicante,3,20.9,16.2,4.7,4,Cox,3058
Asturias,33,28,23.3,4.7,3,Vegadeo,33074
"Coruña, A",15,28.2,23.5,4.7,8,Padrón,15065
Madrid,28,30.5,25.8,4.7,3,Loeches,28075
Lleida,25,30.7,26,4.7,2,Bell-lloc d'Urgell,25048
Madrid,28,30.9,26.2,4.7,2,Casarrubuelos,28036
"Coruña, A",15,31.6,26.9,4.7,6,Pontedeume,15069
Navarra,31,34.8,30.1,4.7,5,Altsasu/Alsasua,31010
Asturias,33,34.9,30.2,4.7,3,"Franco, El",33023
Barcelona,8,42.5,37.8,4.7,3,Martorelles,8115
Tarragona,43,47.9,43.2,4.7,2,"Catllar, El",43043
Almería,4,15.6,10.8,4.8,2,Gádor,4047
Sevilla,41,22.9,18.1,4.8,2,Albaida del Aljarafe,41003
Almería,4,23.6,18.8,4.8,2,Chirivel,4037
Cuenca,16,27.3,22.5,4.8,5,"Pedroñeras, Las",16154
Navarra,31,29.1,24.3,4.8,5,Baztan,31050
Pontevedra,36,30.2,25.4,4.8,5,Cuntis,36015
Badajoz,6,31.1,26.3,4.8,2,Zahínos,6159
León,24,32.1,27.3,4.8,3,Sariegos,24163
Madrid,28,33.1,28.3,4.8,6,Alpedrete,28010
Asturias,33,34.3,29.5,4.8,6,Cudillero,33021
Teruel,44,35.1,30.3,4.8,3,Calamocha,44050
"Coruña, A",15,35.2,30.4,4.8,5,Cedeira,15022
Barcelona,8,36.3,31.5,4.8,5,Montmeló,8135
Sevilla,41,37.7,32.9,4.8,5,Umbrete,41094
Lugo,27,38,33.2,4.8,6,Burela,27902
Málaga,29,38,33.2,4.8,2,Villanueva del Rosario,29096
Sevilla,41,39.4,34.6,4.8,5,Santiponce,41089
Barcelona,8,46,41.2,4.8,4,Roda de Ter,8183
Jaén,23,13.8,8.9,4.9,2,Jabalquinto,23049
Valencia/Valéncia,46,17.9,13,4.9,2,Anna,46039
Toledo,45,19.3,14.4,4.9,2,Tembleque,45166
Alicante,3,21.1,16.2,4.9,6,Banyeres de Mariola,3021
Valencia/Valéncia,46,22.6,17.7,4.9,2,Bellreguard,46048
León,24,24.9,20,4.9,4,Fabero,24070
Jaén,23,26,21.1,4.9,5,Navas de San Juan,23063
Cantabria,39,27,22.1,4.9,5,Colindres,39023
Toledo,45,31.2,26.3,4.9,2,"Navalmorales, Los",45112
"Coruña, A",15,31.5,26.6,4.9,6,Abegondo,15001
Pontevedra,36,31.9,27,4.9,4,Barro,36002
Jaén,23,34.6,29.7,4.9,5,Mengíbar,23061
Huesca,22,37.2,32.3,4.9,7,Sabiñánigo,22199
Zaragoza,50,37.9,33,4.9,3,"Puebla de Alfindén, La",50219
Badajoz,6,18.3,13.3,5,3,Talarrubias,6127
Sevilla,41,22.7,17.7,5,2,Marinaleda,41061
Granada,18,23.3,18.3,5,3,Castril,18046
León,24,25.3,20.3,5,3,Toreno,24169
Ourense,32,25.3,20.3,5,5,Ribadavia,32069
Almería,4,26.1,21.1,5,2,Benahadux,4024
Valladolid,47,26.1,21.1,5,4,Medina de Rioseco,47086
Segovia,40,28.8,23.8,5,4,Real Sitio de San Ildefonso,40181
Badajoz,6,31.6,26.6,5,11,Montijo,6088
Madrid,28,32,27,5,4,Manzanares el Real,28082
Córdoba,14,32.2,27.2,5,3,Villaviciosa de Córdoba,14073
Madrid,28,35.4,30.4,5,3,Cubas de la Sagra,28050
Jaén,23,35.9,30.9,5,2,Baños de la Encina,23011
Sevilla,41,38.8,33.8,5,2,Villamanrique de la Condesa,41097
Huelva,21,39.6,34.6,5,2,"Campillo, El",21018
Barcelona,8,42.5,37.5,5,4,Santpedor,8192
Lugo,27,16.9,11.8,5.1,4,Friol,27020
